Item,Category,Energy,Protein,Carbohydrate,Total Fat,Total Dietary Fibre,Calcium,Iron,Fat saturated,Total Sugar,Sodium
Bacon,Meat,541.6666667,37.5,,41.66666667,,,1.25,13.75,,2308.333333
Broccoli boiled,Vegetable,35.36585366,2.43902439,7.317073171,,2.43902439,40.24390244,0.731707317,,1.219512195,41.46341463
Chicken Roast,Meat,189.3333333,25.33333333,0,9.333333333,,,0.533333333,2.4,,60
Ham,Meat,162.5,16.07142857,3.571428571,8.928571429,,,1.071428571,2.857142857,,1303.571429
Lamb,Meat,242.6666667,28,0,13.33333333,,,2.133333333,5.6,,72
Macaroni,0,141.2162162,4.72972973,28.37837838,0.675675676,1.216216216,6.756756757,1.418918919,0.067567568,0.675675676,0.675675676
Mango,Fruit,64.42307692,0.961538462,17.30769231,,1.826923077,9.615384615,0.096153846,,14.42307692,1.923076923
Orange,Fruit,47.32824427,0.763358779,11.45038168,,1.755725191,39.69465649,0.076335878,,9.160305344,0
Peas,Vegetable,77.64705882,4.705882353,14.11764706,,4.352941176,23.52941176,1.529411765,,4.705882353,71.76470588
Pork Sausage,Meat,269.2307692,15.38461538,,23.07692308,,,1.538461538,6.923076923,,784.6153846
Potato - baked,Vegetable,93.06358382,2.312138728,21.38728324,,2.196531792,15.02890173,1.098265896,,1.156069364,9.826589595
Potato - boiled,Vegetable,86,2,20,,1.666666667,8.666666667,0.866666667,,0.666666667,4.666666667
Potatoes - mashed,Vegetable,104.5045045,1.801801802,17.11711712,3.603603604,1.981981982,26.12612613,0.27027027,,,294.5945946
Quinoa,0,95.89041096,2.739726027,17.80821918,1.369863014,1.780821918,15.06849315,2.328767123,0.136986301,,5.479452055
Raspberries,Fruit,52.30769231,1.538461538,12.30769231,,6.461538462,24.61538462,0.615384615,,4.615384615,1.538461538
Rice,0,131.3253012,2.409638554,28.91566265,,0.481927711,9.638554217,0.240963855,0.120481928,,1.204819277
Sirloin Steak,Meat,208,33.33333333,0,6.666666667,,,3.6,2.933333333,,58.66666667
Spaghetti,0,141.2162162,4.72972973,28.37837838,0.675675676,1.689189189,6.756756757,1.418918919,0.067567568,0.675675676,0.675675676
