Name,Length,Drainage area,Average discharge,Countries,Outflow
Aldan,2273,729000,5060,1,Paraná
Amazon–Ucayali–Tambo–Ene–Mantaro[n 1],6992,7050000,209000,7,Mamoré
Amu Darya–Panj,2620,534739,1400,4,Orinoco
Amur–Argun–Kherlen,4444,1855000,11400,3,Yangtze
Araguaia,2627,358125,5510,1,Amazon
Arkansas,2348,505000,1066,1,Paraná
Ayeyarwady,2170,411000,13000,2,Lake Balkhash
Belaya,1420,142000,858,1,East Siberian Sea
Beni,1599,283350,8900,1,Arabian Sea
Benue,1400,0,0,2,Xingu
Blue Nile,1600,326400,0,2,Irtysh
Brahmaputra–Tsangpo,3848,712035,"19,800[9][10]",6,Amazon
Brazos,1352,0,0,1,Indian Ocean
Chulym,1799,134000,0,1,Amazon
Churchill,1600,0,0,1,Volga
Colorado (Texas),1438,0,0,1,Congo
Colorado (western U.S.),2333,390000,1200,2,Laptev Sea
Columbia,"2,250 (1,953)",415211,7500,2,East Siberian Sea
Congo–Chambeshi,4700,3680000,41800,9,Bay of Bengal
Cooper–Barcoo,1420,0,0,1,Caspian Sea
"Danube–Breg (Donau, Dun?re, Duna, Dunav, Dunaj)","2,888*",817000,7130,9,Murrumbidgee River
Dnieper,2287,516300,1670,3,Laptev Sea
Dniester,"1,411 (1,352)",72100,310,2,Bohai Sea
Don,1870,425600,935,2,Indian Ocean
Fraser,1368,220000,3475,1,Congo
Ganges–Hooghly–Padma (Ganga),"2,620[13]",907000,"12,037[14]",4,Yenisei
Godavari,1465,312812,3061,1,Beaufort Sea
